"trainer/global_step","balmy-forest-188_Unet++_eff-b3_synth500 - _step","balmy-forest-188_Unet++_eff-b3_synth500 - _step__MIN","balmy-forest-188_Unet++_eff-b3_synth500 - _step__MAX","balmy-forest-188_Unet++_eff-b3_synth500 - synthetic_valid/correctly_decoded","balmy-forest-188_Unet++_eff-b3_synth500 - synthetic_valid/correctly_decoded__MIN","balmy-forest-188_Unet++_eff-b3_synth500 - synthetic_valid/correctly_decoded__MAX","balmy-forest-188_Unet++_eff-b3_synth500 - real_valid/correctly_decoded","balmy-forest-188_Unet++_eff-b3_synth500 - real_valid/correctly_decoded__MIN","balmy-forest-188_Unet++_eff-b3_synth500 - real_valid/correctly_decoded__MAX"
"199","200","200","200","0.21199999749660492","0.21199999749660492","0.21199999749660492","0.2871287167072296","0.2871287167072296","0.2871287167072296"
"399","400","400","400","0.2919999957084656","0.2919999957084656","0.2919999957084656","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"599","600","600","600","0.3880000114440918","0.3880000114440918","0.3880000114440918","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"799","800","800","800","0.4300000071525574","0.4300000071525574","0.4300000071525574","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"999","1000","1000","1000","0.4959999918937683","0.4959999918937683","0.4959999918937683","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"1199","1200","1200","1200","0.5040000081062317","0.5040000081062317","0.5040000081062317","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1399","1400","1400","1400","0.5099999904632568","0.5099999904632568","0.5099999904632568","0.5346534848213196","0.5346534848213196","0.5346534848213196"
"1599","1600","1600","1600","0.5339999794960022","0.5339999794960022","0.5339999794960022","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"1799","1800","1800","1800","0.5960000157356262","0.5960000157356262","0.5960000157356262","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"1999","2000","2000","2000","0.5879999995231628","0.5879999995231628","0.5879999995231628","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"2199","2200","2200","2200","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"2399","2400","2400","2400","0.6460000276565552","0.6460000276565552","0.6460000276565552","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"2599","2600","2600","2600","0.6800000071525574","0.6800000071525574","0.6800000071525574","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"2799","2800","2800","2800","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"2999","3000","3000","3000","0.7179999947547913","0.7179999947547913","0.7179999947547913","0.3465346395969391","0.3465346395969391","0.3465346395969391"
"3199","3200","3200","3200","0.7020000219345093","0.7020000219345093","0.7020000219345093","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"3399","3400","3400","3400","0.7519999742507935","0.7519999742507935","0.7519999742507935","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"3599","3600","3600","3600","0.7419999837875366","0.7419999837875366","0.7419999837875366","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"3799","3800","3800","3800","0.7639999985694885","0.7639999985694885","0.7639999985694885","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"3999","4000","4000","4000","0.7760000228881836","0.7760000228881836","0.7760000228881836","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"4199","4200","4200","4200","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"4399","4400","4400","4400","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"4599","4600","4600","4600","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"4799","4800","4800","4800","0.7919999957084656","0.7919999957084656","0.7919999957084656","0.39603960514068604","0.39603960514068604","0.39603960514068604"
"4999","5000","5000","5000","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"5199","5200","5200","5200","0.8040000200271606","0.8040000200271606","0.8040000200271606","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"5399","5400","5400","5400","0.7960000038146973","0.7960000038146973","0.7960000038146973","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"5599","5600","5600","5600","0.8080000281333923","0.8080000281333923","0.8080000281333923","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"5799","5800","5800","5800","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"5999","6000","6000","6000","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"6199","6200","6200","6200","0.8159999847412109","0.8159999847412109","0.8159999847412109","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"6399","6400","6400","6400","0.8199999928474426","0.8199999928474426","0.8199999928474426","0.3861386179924011","0.3861386179924011","0.3861386179924011"
"6599","6600","6600","6600","0.8259999752044678","0.8259999752044678","0.8259999752044678","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"6799","6800","6800","6800","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"6999","7000","7000","7000","0.8259999752044678","0.8259999752044678","0.8259999752044678","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"7199","7200","7200","7200","0.8360000252723694","0.8360000252723694","0.8360000252723694","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7399","7400","7400","7400","0.8379999995231628","0.8379999995231628","0.8379999995231628","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7599","7600","7600","7600","0.8360000252723694","0.8360000252723694","0.8360000252723694","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"7799","7800","7800","7800","0.828000009059906","0.828000009059906","0.828000009059906","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7999","8000","8000","8000","0.8220000267028809","0.8220000267028809","0.8220000267028809","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"8199","8200","8200","8200","0.8199999928474426","0.8199999928474426","0.8199999928474426","0.4653465449810028","0.4653465449810028","0.4653465449810028"