"trainer/global_step","fragrant-yogurt-186_Unet_eff-b3_synth500 - _step","fragrant-yogurt-186_Unet_eff-b3_synth500 - _step__MIN","fragrant-yogurt-186_Unet_eff-b3_synth500 - _step__MAX","fragrant-yogurt-186_Unet_eff-b3_synth500 - synthetic_valid/correctly_decoded","fragrant-yogurt-186_Unet_eff-b3_synth500 - synthetic_valid/correctly_decoded__MIN","fragrant-yogurt-186_Unet_eff-b3_synth500 - synthetic_valid/correctly_decoded__MAX","fragrant-yogurt-186_Unet_eff-b3_synth500 - real_valid/correctly_decoded","fragrant-yogurt-186_Unet_eff-b3_synth500 - real_valid/correctly_decoded__MIN","fragrant-yogurt-186_Unet_eff-b3_synth500 - real_valid/correctly_decoded__MAX"
"199","124","124","124","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.30693069100379944","0.30693069100379944","0.30693069100379944"
"399","199","199","199","0.2939999997615814","0.2939999997615814","0.2939999997615814","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"599","274","274","274","0.3880000114440918","0.3880000114440918","0.3880000114440918","0.48514851927757263","0.48514851927757263","0.48514851927757263"
"799","349","349","349","0.4339999854564667","0.4339999854564667","0.4339999854564667","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"999","424","424","424","0.4339999854564667","0.4339999854564667","0.4339999854564667","0.5247524976730347","0.5247524976730347","0.5247524976730347"
"1199","499","499","499","0.4359999895095825","0.4359999895095825","0.4359999895095825","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1399","574","574","574","0.5059999823570251","0.5059999823570251","0.5059999823570251","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1599","649","649","649","0.4659999907016754","0.4659999907016754","0.4659999907016754","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"1799","724","724","724","0.4880000054836273","0.4880000054836273","0.4880000054836273","0.5445544719696045","0.5445544719696045","0.5445544719696045"
"1999","799","799","799","0.5619999766349792","0.5619999766349792","0.5619999766349792","0.5445544719696045","0.5445544719696045","0.5445544719696045"
"2199","874","874","874","0.5440000295639038","0.5440000295639038","0.5440000295639038","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"2399","949","949","949","0.578000009059906","0.578000009059906","0.578000009059906","0.5148515105247498","0.5148515105247498","0.5148515105247498"
"2599","1024","1024","1024","0.6240000128746033","0.6240000128746033","0.6240000128746033","0.49504950642585754","0.49504950642585754","0.49504950642585754"
"2799","1099","1099","1099","0.6320000290870667","0.6320000290870667","0.6320000290870667","0.4653465449810028","0.4653465449810028","0.4653465449810028"
"2999","1174","1174","1174","0.6359999775886536","0.6359999775886536","0.6359999775886536","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"3199","1249","1249","1249","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"3399","1324","1324","1324","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"3599","1399","1399","1399","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.40594059228897095","0.40594059228897095","0.40594059228897095"
"3799","1474","1474","1474","0.6859999895095825","0.6859999895095825","0.6859999895095825","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"3999","1549","1549","1549","0.7239999771118164","0.7239999771118164","0.7239999771118164","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"4199","1624","1624","1624","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"4399","1699","1699","1699","0.6779999732971191","0.6779999732971191","0.6779999732971191","0.32673266530036926","0.32673266530036926","0.32673266530036926"
"4599","1774","1774","1774","0.7160000205039978","0.7160000205039978","0.7160000205039978","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"4799","1849","1849","1849","0.7559999823570251","0.7559999823570251","0.7559999823570251","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"4999","1924","1924","1924","0.734000027179718","0.734000027179718","0.734000027179718","0.40594059228897095","0.40594059228897095","0.40594059228897095"
"5199","1999","1999","1999","0.5820000171661377","0.5820000171661377","0.5820000171661377","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"5399","2074","2074","2074","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"5599","2149","2149","2149","0.7419999837875366","0.7419999837875366","0.7419999837875366","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"5799","2224","2224","2224","0.7680000066757202","0.7680000066757202","0.7680000066757202","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"5999","2299","2299","2299","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.3861386179924011","0.3861386179924011","0.3861386179924011"
"6199","2374","2374","2374","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"6399","2449","2449","2449","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"6599","2524","2524","2524","0.7720000147819519","0.7720000147819519","0.7720000147819519","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"6799","2599","2599","2599","0.6740000247955322","0.6740000247955322","0.6740000247955322","0.2871287167072296","0.2871287167072296","0.2871287167072296"
"6999","2674","2674","2674","0.7879999876022339","0.7879999876022339","0.7879999876022339","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7199","2749","2749","2749","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7399","2824","2824","2824","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.39603960514068604","0.39603960514068604","0.39603960514068604"
"7599","2899","2899","2899","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.4356435537338257","0.4356435537338257","0.4356435537338257"
"7799","2974","2974","2974","0.800000011920929","0.800000011920929","0.800000011920929","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"7999","3049","3049","3049","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.41584157943725586","0.41584157943725586","0.41584157943725586"
"8199","3124","3124","3124","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"8399","3199","3199","3199","0.8140000104904175","0.8140000104904175","0.8140000104904175","0.4455445408821106","0.4455445408821106","0.4455445408821106"
"8599","3274","3274","3274","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.4752475321292877","0.4752475321292877","0.4752475321292877"
"8799","3349","3349","3349","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.42574256658554077","0.42574256658554077","0.42574256658554077"
"8999","3424","3424","3424","0.8240000009536743","0.8240000009536743","0.8240000009536743","0.5049505233764648","0.5049505233764648","0.5049505233764648"
"9199","3499","3499","3499","0.8159999847412109","0.8159999847412109","0.8159999847412109","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"9399","3574","3574","3574","0.8220000267028809","0.8220000267028809","0.8220000267028809","0.4554455578327179","0.4554455578327179","0.4554455578327179"
"9599","3649","3649","3649","0.828000009059906","0.828000009059906","0.828000009059906","0.4356435537338257","0.4356435537338257","0.4356435537338257"